ts,mem_avail_mb,load1,hikari_active,heap_used_mb,app_rss_mb
06:42:31,2506,0.23,1,146,582
06:42:33,2503,0.23,1,101,582
06:42:35,2502,0.29,0,183,582
06:42:37,2502,0.29,0,137,582
06:42:39,2502,0.35,0,98,582
06:42:41,2502,0.35,0,186,582
06:42:43,2502,0.40,2,155,582
06:42:45,2505,0.40,0,124,582
06:42:47,2504,0.40,0,99,582
06:42:50,2503,0.37,2,78,583
06:42:52,2503,0.37,1,182,583
06:42:54,2502,0.50,1,168,583
06:42:56,2502,0.50,2,152,583
06:42:58,2499,0.50,1,138,583
06:43:00,2499,0.62,6,129,583
06:43:02,2494,0.62,1,126,583
06:43:04,2498,0.73,1,121,583
06:43:06,2498,0.73,0,119,583
06:43:08,2500,0.75,1,120,583
06:43:10,2498,0.75,0,126,583
06:43:12,2497,0.75,0,135,583
06:43:14,2495,1.09,0,149,583
06:43:16,2493,1.09,1,161,583
06:43:18,2495,1.65,1,177,583
06:43:21,2494,1.65,3,91,583
06:43:23,2495,1.65,0,112,584
06:43:25,2496,1.51,1,140,584
06:43:27,2498,1.51,5,170,584
06:43:29,2497,1.79,2,77,584
06:43:31,2497,1.79,1,117,585
06:43:33,2493,1.97,2,156,585
06:43:35,2492,1.97,0,75,585
06:43:37,2491,1.97,0,119,585
06:43:39,2495,2.05,0,169,585
06:43:42,2493,2.05,2,99,585
06:43:44,2493,2.37,2,158,585
06:43:46,2492,2.37,3,97,585
06:43:48,2492,2.37,6,166,585
06:43:50,2492,2.26,1,109,585
06:43:52,2493,2.26,6,179,585
06:43:54,2487,2.40,3,128,586
06:43:57,2486,2.40,3,93,586
06:43:59,2489,2.69,2,181,586
06:44:01,2481,2.69,6,143,591
06:44:03,2480,2.69,5,117,591
06:44:05,2475,3.43,5,93,591
06:44:08,2475,3.43,8,193,591
06:44:10,2473,4.76,9,100,592
06:44:13,2471,4.76,1,133,592
06:44:15,2469,6.86,7,130,592
06:44:17,2465,6.86,10,152,595
06:44:20,2465,6.63,7,184,595
06:44:22,2455,6.63,3,101,603
06:44:24,2443,8.34,9,110,605
06:44:27,2427,8.34,10,133,607
06:44:29,2421,9.68,10,200,607
06:44:33,2419,9.68,7,149,607
06:44:35,2419,10.75,5,186,607
06:44:37,2418,10.75,7,202,607
06:44:40,2418,12.29,10,98,607
06:44:43,2418,12.29,0,171,607
06:44:45,2418,13.63,10,163,607
06:44:47,2417,13.63,7,157,607
06:44:50,2414,15.50,6,168,607
06:44:54,2414,15.50,10,121,607
06:44:57,2414,17.38,8,115,607
06:44:59,2414,17.99,0,144,607
06:45:01,2414,17.99,10,122,607
06:45:04,2414,18.87,6,187,607
06:45:07,2414,18.87,10,100,607
06:45:10,2414,20.40,2,192,607
06:45:13,2414,20.40,3,176,607
06:45:16,2414,21.09,0,187,607
06:45:19,2414,21.09,10,99,607
06:45:22,2414,21.41,9,135,607
06:45:24,2419,21.69,9,111,607
06:45:27,2419,21.69,9,112,607
06:45:29,2419,22.68,9,145,607
06:45:32,2417,22.68,10,97,607
06:45:34,2417,22.22,10,97,607
06:45:37,2417,22.22,0,188,607
06:45:40,2417,23.17,10,95,607
06:45:43,2417,23.17,9,99,607
06:45:46,2419,23.55,9,102,650
06:45:49,2380,23.55,1,230,651
06:45:51,2374,23.27,0,121,651
06:45:53,2371,23.27,3,128,651
06:45:55,2371,21.57,0,114,651
06:45:57,2368,21.57,1,223,651
06:45:59,2370,20.00,0,153,651
06:46:01,2370,20.00,0,213,651
06:46:03,2374,20.00,1,97,651
06:46:05,2374,18.40,0,110,651
06:46:07,2373,18.40,0,113,651
06:46:09,2372,16.92,0,114,651
06:46:11,2374,16.92,0,116,651
06:46:13,2375,16.92,0,117,651
06:46:15,2375,15.57,0,119,651
