ts,mem_avail_mb,load1,hikari_active,heap_used_mb,app_rss_mb,es_rss_mb
07:56:23,1420,1.35,1,179,670,995
07:56:25,1420,1.35,1,236,670,995
07:56:27,1420,1.33,1,124,670,995
07:56:29,1416,1.33,1,180,670,995
07:56:32,1415,1.30,1,234,670,995
07:56:34,1415,1.30,1,121,670,995
07:56:36,1415,1.36,1,178,670,995
07:56:38,1415,1.36,1,233,670,995
07:56:40,1415,1.36,1,121,670,995
07:56:42,1415,1.33,1,179,670,995
07:56:44,1416,1.33,1,232,670,995
07:56:46,1415,1.30,1,120,670,995
07:56:48,1433,1.30,0,178,670,995
07:56:50,1426,1.30,1,232,670,995
07:56:52,1425,1.28,1,121,670,995
07:56:54,1425,1.28,1,178,670,995
07:56:56,1423,1.25,1,232,670,995
07:56:58,1423,1.25,1,121,670,995
07:57:00,1432,1.25,1,169,670,995
07:57:02,1430,1.23,1,226,670,995
07:57:05,1419,1.23,0,118,670,998
07:57:07,1420,1.37,1,171,670,999
07:57:09,1420,1.37,1,228,670,999
07:57:11,1421,1.34,0,118,670,999
07:57:13,1417,1.34,1,171,670,999
07:57:15,1417,1.34,1,225,670,999
07:57:17,1417,1.32,1,113,670,999
07:57:19,1418,1.32,1,169,670,999
07:57:21,1418,1.21,1,228,670,999
07:57:23,1419,1.21,1,116,670,999
07:57:25,1420,1.21,1,170,670,999
07:57:27,1420,1.19,1,229,670,999
07:57:29,1420,1.19,1,115,670,999
07:57:31,1412,1.18,1,168,670,999
07:57:33,1413,1.18,0,226,670,999
07:57:35,1413,1.18,1,112,670,999
07:57:38,1421,1.24,1,169,670,999
07:57:40,1421,1.24,1,228,670,999
07:57:42,1420,1.22,1,115,670,999
07:57:44,1421,1.22,1,170,670,999
07:57:46,1419,1.21,0,226,670,999
07:57:48,1419,1.21,1,112,670,999
07:57:50,1419,1.21,1,169,670,999
07:57:52,1430,1.19,1,226,670,999
07:57:54,1428,1.19,1,115,670,999
07:57:56,1424,1.17,1,170,670,999
07:57:58,1424,1.17,1,229,670,999
07:58:00,1424,1.17,1,110,670,999
07:58:02,1422,1.16,1,170,670,999
07:58:04,1427,1.16,0,227,670,999
07:58:06,1429,1.15,1,112,670,998
07:58:08,1428,1.15,1,170,670,998
07:58:10,1426,1.15,1,228,670,998
07:58:12,1426,1.05,0,120,670,998
07:58:14,1426,1.05,1,175,670,998
07:58:17,1424,1.05,1,231,671,998
07:58:19,1425,1.05,0,120,671,998
07:58:21,1425,1.05,1,175,671,998
07:58:23,1425,1.05,1,232,671,998
07:58:25,1425,1.05,1,123,671,998
07:58:27,1425,0.96,1,177,671,998
07:58:29,1418,0.96,1,234,671,998
07:58:31,1417,0.97,1,125,671,998
07:58:33,1412,0.97,1,180,671,998
07:58:35,1432,0.97,1,237,671,998
07:58:37,1431,1.05,1,128,671,998
07:58:39,1427,1.05,1,186,671,998
07:58:41,1424,1.04,0,245,671,998
07:58:43,1424,1.04,1,131,671,998
07:58:45,1423,1.04,1,187,671,998
07:58:47,1429,1.04,0,245,671,998
07:58:49,1428,1.04,1,132,671,998
07:58:51,1424,1.04,1,189,671,998
07:58:53,1424,1.04,1,246,671,998
07:58:56,1424,1.04,1,132,671,998
07:58:58,1429,1.27,1,189,671,998
07:59:00,1427,1.27,0,243,671,998
07:59:02,1427,1.33,1,128,671,998
07:59:04,1426,1.33,1,184,671,998
07:59:06,1418,1.31,1,235,671,998
07:59:08,1420,1.31,1,126,671,998
07:59:10,1417,1.31,1,181,671,998
07:59:12,1416,1.28,1,237,671,998
07:59:14,1416,1.28,1,128,671,998
07:59:16,1416,1.34,0,186,671,998
07:59:18,1413,1.34,1,241,671,998
